id	file	bytes	path
Docs-Trips	trips.mp4	393288	/Users/stvlynn/code/OpenTrip/docs/assets/demos/trips.mp4
Docs-Invite	invite.mp4	687064	/Users/stvlynn/code/OpenTrip/docs/assets/demos/invite.mp4
Docs-Map	map.mp4	1493711	/Users/stvlynn/code/OpenTrip/docs/assets/demos/map.mp4
Docs-Schedule	schedule.mp4	914755	/Users/stvlynn/code/OpenTrip/docs/assets/demos/schedule.mp4
Docs-Budget	budget.mp4	846571	/Users/stvlynn/code/OpenTrip/docs/assets/demos/budget.mp4
Docs-Votes	votes.mp4	420321	/Users/stvlynn/code/OpenTrip/docs/assets/demos/votes.mp4
Docs-Agent	agent.mp4	497553	/Users/stvlynn/code/OpenTrip/docs/assets/demos/agent.mp4
Docs-Travelogue	travelogue.mp4	491537	/Users/stvlynn/code/OpenTrip/docs/assets/demos/travelogue.mp4
Docs-PWA	pwa.mp4	637997	/Users/stvlynn/code/OpenTrip/docs/assets/demos/pwa.mp4
Docs-Reservations	reservations.mp4	319092	/Users/stvlynn/code/OpenTrip/docs/assets/demos/reservations.mp4
Docs-Today	today.mp4	369908	/Users/stvlynn/code/OpenTrip/docs/assets/demos/today.mp4
Docs-Settings	settings.mp4	345342	/Users/stvlynn/code/OpenTrip/docs/assets/demos/settings.mp4
Docs-Account	account.mp4	401720	/Users/stvlynn/code/OpenTrip/docs/assets/demos/account.mp4
Docs-SignIn	signin.mp4	238676	/Users/stvlynn/code/OpenTrip/docs/assets/demos/signin.mp4
Docs-ReservationsPwa	reservations-pwa.mp4	406870	/Users/stvlynn/code/OpenTrip/docs/assets/demos/reservations-pwa.mp4
Docs-AgentPwa	agent-pwa.mp4	293338	/Users/stvlynn/code/OpenTrip/docs/assets/demos/agent-pwa.mp4
